CIF_NO,CUSTOMERNAME,DOB,GENDER,PAN_NO,MOBILE,CITY,STATE,OCCUPATIONTYPE,MONTHLY_INCOME,CREDIT_SCORE,CUSTOMER_SINCE_DATE
701972,Sangeetha Chelladurai,1976-07-16,F,ALASY3523H,9998192147,Madurai,Tamil Nadu,Business,73814.11,638,2014-07-17
701973,Saranya Mishra,1958-11-20,F,RSQYJ4244T,7344891780,Bengaluru,Karnataka,Salaried,23807.79,-1,2025-04-20
701974,Anitha Desai,1971-10-06,F,NMNFA3480Q,8628146731,Kolkata,West Bengal,Farmer,9778.26,514,2019-11-16
701975,Neha Chowdhury,1991-11-20,F,HYEHP6772G,7020833755,Lucknow,Uttar Pradesh,Salaried,130934.83,606,2024-02-25
701976,Uma Das,1958-03-10,F,QQBCV5382B,7505067445,Chennai,Tamil Nadu,Salaried,97934.83,630,2012-09-30
701977,Radha Sen,1997-09-13,F,NSALG7081T,8453170046,Pune,Maharashtra,Salaried,43103.05,714,2021-01-17
701978,Ravi Singh,2003-01-09,M,DJBFF6084D,6824950624,Chennai,Tamil Nadu,Salaried,110683.09,504,2018-11-17
701979,Rajesh Rajendran,1965-05-20,M,GOEQJ3837K,8683582743,Lucknow,Uttar Pradesh,Business,399424.63,894,2010-02-20
701980,Balaji Reddy,1976-12-21,M,JNZDC5698L,6865852383,Kanpur,Uttar Pradesh,Salaried,39036.48,885,2018-07-20
701981,Sandeep Balasubramanian,1996-06-23,M,XNRCO0911M,6278068392,Lucknow,Uttar Pradesh,Government Employee,88914.54,594,2010-01-18
701982,Lakshmi Yadav,1983-04-04,F,WOMIJ0269U,8184019094,Nashik,Maharashtra,Government Employee,101232.54,486,2010-07-03
701983,Neha Rao,1997-01-14,F,XQDNQ6644O,9761338830,Ranchi,Jharkhand,Salaried,105723.8,647,2023-03-18
701984,Vikram Patel,1986-08-23,M,UMFJY5018J,9010076890,Kochi,Kerala,Retired,67978.17,703,2022-01-11
701985,Sanjay Mukherjee,1991-08-05,M,HGIWC2987R,6825086394,Pune,Maharashtra,Self Employed,279544.42,791,2011-10-13
701986,Shankar Venkatesan,2000-11-07,M,MJUCF4122P,6257215818,Delhi,Delhi,Professional,344939.71,731,2022-11-09
701987,Arun Thakur,1983-01-08,M,MWGWS8407V,7084948772,Kolkata,West Bengal,Government Employee,63862.99,644,2020-05-21
701988,Farooq Perumal,1956-07-29,M,FUIEY9569R,7368248459,Bengaluru,Karnataka,Salaried,89507.07,476,2014-07-27
701989,Ashok Tiwari,2002-10-11,M,DRZKF3345M,8877604015,Chandigarh,Chandigarh,Salaried,37808.86,711,2024-04-05
701990,Praveen Balasubramanian,1974-12-19,M,KCIKY8848P,8424956745,Kanpur,Uttar Pradesh,Professional,350964.89,743,2018-01-24
701991,Radha Deshmukh,1986-07-07,F,VCSYH6278D,7514985583,Bengaluru,Karnataka,Salaried,26029.42,633,2013-09-26
701992,Mani Nair,1973-01-25,M,IWOID1059M,7965030817,Kochi,Kerala,Business,290079.51,689,2017-04-15
701993,Manoj Pillai,1988-05-31,M,UJUUQ8176R,9338758391,Ahmedabad,Gujarat,Salaried,98134.64,682,2021-04-05
701994,Rakesh Balasubramanian,1996-01-14,M,TIVDQ6509J,8197956441,Chennai,Tamil Nadu,Salaried,132512.12,640,2013-05-21
701995,Fathima Mishra,1960-10-06,F,ANVOR6144M,6387367368,Lucknow,Uttar Pradesh,Salaried,94073.4,553,2017-05-26
701996,Balaji Murugan,1957-10-31,M,GDEWQ1309A,7489653571,Coimbatore,Tamil Nadu,Salaried,137626.06,695,2022-08-09
701997,Sowmya Nair,1986-02-20,F,FNTSX9676R,7840569266,Lucknow,Uttar Pradesh,Self Employed,251541.44,528,2025-01-24
701998,Swathi Jadhav,1970-02-05,F,MJKOD7230N,6884673050,Delhi,Delhi,Business,464500.77,796,2010-08-06
701999,Yamuna Pillai,1982-06-09,F,BKYGK0713Q,7020135663,Delhi,Delhi,Salaried,135257.01,-1,2016-04-19
702000,Naveen Joshi,1986-07-11,M,WWQYZ5209U,9576991337,Chennai,Tamil Nadu,Self Employed,176712.26,577,2024-09-20
702001,Arun Perumal,1991-09-11,M,UHUCA8104T,8906533390,Delhi,Delhi,Salaried,29178.81,709,2014-11-26
702002,Parvathi Desai,1981-05-30,F,IYAOK1494Q,6409638833,Chennai,Tamil Nadu,Farmer,57941.37,593,2021-04-07
702003,Sowmya Reddy,1986-01-05,F,MPTEW7634H,6063443674,Ahmedabad,Gujarat,Self Employed,92560.25,699,2019-05-16
702004,Sanjay Pandey,1990-12-11,M,POCUH1847O,6919212306,Coimbatore,Tamil Nadu,Government Employee,21456.85,643,2025-04-17
702005,Radha Das,1993-09-23,F,KCZHG9163U,9684505336,Mumbai,Maharashtra,Business,479368.8,713,2023-01-16
702006,Prakash Deshmukh,1963-05-20,M,KBTRU2488M,6132504963,Patna,Bihar,Business,413392.36,587,2012-12-06
702007,Bhavya Deshmukh,2002-07-23,F,GZHDR2416M,7207816904,Lucknow,Uttar Pradesh,Business,69979.48,508,2021-03-24
702008,Anjali Menon,1962-12-21,F,TAOWK2162I,6738355620,Hyderabad,Telangana,Government Employee,101617.07,636,2023-01-02
702009,Anand Mishra,1990-06-23,M,CCYWG3225C,6280664664,Bengaluru,Karnataka,Business,233944.78,629,2017-03-15
702010,Rahul Ghosh,1961-08-25,M,PVBRA7602J,7885085715,Madurai,Tamil Nadu,Business,384847.59,520,2012-09-07
702011,Karthik Subramaniam,2001-06-02,M,QCBKY0618L,6697631610,Mumbai,Maharashtra,Salaried,172795.97,597,2023-09-04
702012,Aishwarya Das,1958-10-09,F,UFGGN3241D,7022269220,Bengaluru,Karnataka,Salaried,171918.04,503,2017-04-06
702013,Rahul Mishra,1992-06-20,M,YWZMP1434F,9213786278,Ahmedabad,Gujarat,Self Employed,55186.52,673,2016-04-17
702014,Gokul Chauhan,1997-09-24,M,WAMUK1335W,9822364608,Kolkata,West Bengal,Self Employed,171639.16,627,2016-03-28
702015,Shankar Ghosh,1975-06-07,M,HOWRF0397W,6934047187,Surat,Gujarat,Salaried,169967.54,664,2022-03-03
702016,Manoj Kumar,1961-04-03,M,AUXBP7358L,8382987078,Delhi,Delhi,Salaried,52088.5,900,2011-06-23
702017,Fathima Desai,1966-08-29,F,XWGKD4523H,6550844248,Lucknow,Uttar Pradesh,Business,325442.53,677,2023-07-26
702018,Gopal Subramaniam,1977-03-21,M,EHZHE6654R,9892102664,Bengaluru,Karnataka,Business,165715.07,698,2024-05-29
702019,Ganesh Sharma,1966-07-22,M,OVIEU5961D,8315608243,Pune,Maharashtra,Salaried,74468.45,722,2021-04-25
702020,Hema Sharma,1984-03-10,F,RVMJL9625U,6990483754,Madurai,Tamil Nadu,Salaried,134882.05,649,2013-04-29
702021,Yamuna Kumar,1964-04-10,F,ENEKC6912J,6841555336,Kolkata,West Bengal,Salaried,121343.07,606,2020-01-04
702022,Shanthi Raman,2003-04-15,F,GVAEM5389C,8823021970,Chandigarh,Chandigarh,Salaried,57164.8,746,2023-11-24
702023,Devi Shah,1966-07-28,F,HINJP4736D,9309721448,Chennai,Tamil Nadu,Business,268519.86,760,2021-02-13
702024,Kavitha Naidu,1993-11-14,F,OYWSM8326S,8218514559,Bengaluru,Karnataka,Salaried,144881.21,385,2013-10-29
702025,Lakshmi Rajendran,1960-08-11,F,VOCCE9237L,8784556033,Kanpur,Uttar Pradesh,Salaried,62567.0,647,2013-10-26
702026,Malathi Jadhav,1957-07-10,F,KKYYT4934P,6115830597,Chandigarh,Chandigarh,Salaried,65773.56,630,2018-03-28
702027,Rohit Bose,1963-10-13,M,INQGL6624F,9669588414,Chennai,Tamil Nadu,Self Employed,296600.65,609,2020-12-19
702028,Kalpana Chauhan,1971-01-01,F,UHESH9439H,8959211680,Kolkata,West Bengal,Salaried,95018.45,780,2023-07-20
702029,Senthil Kulkarni,1994-01-27,M,CUGIC7602P,7263023860,Coimbatore,Tamil Nadu,Salaried,140089.99,611,2019-11-19
702030,Karthik Shah,1959-05-06,M,AZAZT3521G,8842436745,Patna,Bihar,Government Employee,97845.7,744,2021-12-10
702031,Vidya Sharma,1960-05-02,F,JLAOM2426Z,9510388871,Patna,Bihar,Salaried,158517.96,611,2022-04-18
702032,Ilango Patel,1998-06-28,M,SRBYB3763W,7367382209,Madurai,Tamil Nadu,Self Employed,49519.36,623,2023-03-16
702033,Sathish Singh,1990-10-10,M,AUCLO4216C,8603782877,Kanpur,Uttar Pradesh,Self Employed,156308.25,731,2010-08-27
702034,Nitin Tiwari,1981-11-18,M,VDAYE8089T,7805001698,Pune,Maharashtra,Salaried,137778.17,592,2017-05-18
702035,Rohit Pillai,1986-06-07,M,SUQHE5888D,6137048858,Chennai,Tamil Nadu,Self Employed,34299.51,647,2020-01-22
702036,Yamuna Murugan,1988-06-16,F,AFUXC5861G,6098459839,Chandigarh,Chandigarh,Business,441090.65,557,2024-06-10
702037,Kumar Mishra,1999-04-24,M,BUDFC2707A,6060251753,Pune,Maharashtra,Self Employed,266578.49,578,2012-03-18
702038,Aishwarya Shah,1979-01-21,F,QUSUY6054F,8554508257,Patna,Bihar,Self Employed,201805.67,731,2024-05-29
702039,Kumar Bose,2004-11-08,M,TNQFU2288O,7648443354,Mumbai,Maharashtra,Salaried,107530.59,718,2011-07-22
702040,Sunil Das,1966-01-01,M,HWGSB7855U,8099343720,Kochi,Kerala,Government Employee,133874.85,553,2018-06-14
702041,Rajini Nair,1972-06-13,F,HLWVC9265R,6418077130,Ahmedabad,Gujarat,Business,458741.78,-1,2020-10-28
702042,Usha Chelladurai,2004-04-02,F,MAITA3103I,6477148349,Ahmedabad,Gujarat,Salaried,96788.29,550,2013-10-08
702043,Jagan Murugan,1999-09-04,M,YBNKZ8795I,8855675415,Surat,Gujarat,Self Employed,114890.2,900,2017-04-16
702044,Vivek Chowdhury,2003-01-10,M,MJNOW5494K,9041324573,Ahmedabad,Gujarat,Professional,70336.65,601,2020-08-27
702045,Farooq Gupta,1980-08-14,M,RBZBX3031Q,6341885905,Surat,Gujarat,Salaried,142386.73,579,2022-06-25
702046,Revathi Tiwari,1982-09-16,F,WPWVS7889Q,9620473637,Jaipur,Rajasthan,Business,42041.9,711,2013-04-13
702047,Balaji Kulkarni,1967-02-16,M,RJOOV7224C,8604321634,Bengaluru,Karnataka,Professional,274899.31,588,2020-06-19
702048,Karthik Iyengar,1995-12-12,M,LNNRP4531J,9744504347,Surat,Gujarat,Salaried,24183.81,627,2016-06-29
702049,Nithya Nair,1961-12-14,F,SWTBW0375U,6174929832,Ahmedabad,Gujarat,Business,200482.18,747,2021-04-17
702050,Sunitha Das,2000-10-15,F,TNPLI4700R,9883965200,Bengaluru,Karnataka,Government Employee,73738.03,757,2017-07-22
702051,Sowmya Iyengar,1969-07-21,F,TASMT5746U,8894481069,Coimbatore,Tamil Nadu,Farmer,51213.76,643,2018-09-30
702052,Praveen Ghosh,1988-01-11,M,HDRBA5439A,6456461918,Bhubaneswar,Odisha,Professional,189723.77,789,2022-08-17
702053,Hari Chowdhury,1975-09-20,M,VKNIJ0104H,6727902864,Nashik,Maharashtra,Farmer,44386.0,648,2016-01-20
702054,Farooq Menon,1957-04-08,M,DCIXX5205O,6034488080,Nashik,Maharashtra,Self Employed,230528.83,639,2014-12-30
702055,Rahul Banerjee,2005-02-17,M,KDZTO4564Q,7519820025,Delhi,Delhi,Salaried,51699.2,661,2013-05-05
702056,Chitra Chelladurai,1980-04-14,F,FYGCI7327Y,8437061978,Hyderabad,Telangana,Professional,368128.56,633,2017-07-19
702057,Rajesh Shah,1961-06-16,M,HEKAX5341P,8176489214,Kolkata,West Bengal,Self Employed,214327.92,712,2017-11-24
702058,Fathima Kumar,2003-05-02,F,VHHEW3912R,9163800689,Nashik,Maharashtra,Government Employee,130868.16,689,2024-02-04
702059,Anjali Singh,1966-08-19,F,ZPHQA8056T,8006863008,Kochi,Kerala,Salaried,21849.54,588,2022-09-21
702060,Vinod Rao,1960-10-28,M,FZVLS0671X,6250996680,Delhi,Delhi,Farmer,14510.25,679,2020-05-01
702061,Chitra Saha,1973-01-22,F,IBOND1690Y,8764855311,Hyderabad,Telangana,Salaried,156809.54,610,2023-07-31
702062,Meena Elumalai,1969-09-07,F,QPDHY3576J,8135286939,Kanpur,Uttar Pradesh,Self Employed,198988.79,607,2011-03-05
702063,Manoj Jadhav,1990-11-13,M,BINSH6179U,9648161501,Bengaluru,Karnataka,Self Employed,213752.02,649,2018-12-20
702064,Balaji Rajendran,1993-05-21,M,YNDGX2693Q,6534238808,Surat,Gujarat,Business,84948.5,759,2024-09-08
702065,Swathi Yadav,1971-08-11,F,GXBSD3790N,6448135571,Lucknow,Uttar Pradesh,Salaried,58473.16,688,2013-01-05
702066,Yogesh Ghosh,2003-01-01,M,HIQMF1448H,6275771405,Ranchi,Jharkhand,Farmer,15456.57,782,2015-11-06
702067,Rajini Naidu,2002-08-16,F,TWYJT7822R,6557124246,Nashik,Maharashtra,Professional,118340.01,810,2010-09-11
702068,Yamuna Roy,1976-03-14,F,XCEET1375V,7265892805,Coimbatore,Tamil Nadu,Self Employed,187277.54,659,2013-11-12
702069,Saranya Das,1958-02-14,F,RNBBO5999K,7713758866,Madurai,Tamil Nadu,Government Employee,74235.34,604,2021-04-22
702070,Dinesh Thakur,1987-11-29,M,WXPBJ1640Y,7021677726,Pune,Maharashtra,Self Employed,296526.05,587,2017-02-11
702071,Gokul Mukherjee,1997-09-23,M,JCHUX6579E,6868849012,Bengaluru,Karnataka,Salaried,26316.85,688,2014-12-12
702072,Yamuna Chauhan,1993-06-16,F,OQMXB2184R,7727223995,Mumbai,Maharashtra,Salaried,113523.73,744,2011-11-22
702073,Parvathi Murugan,1976-06-26,F,BLKOZ3017T,7965126668,Chennai,Tamil Nadu,Business,486090.19,812,2021-04-28
702074,Sunitha Mukherjee,1960-08-14,F,LJVDO5654N,9417135056,Patna,Bihar,Salaried,166335.71,538,2013-07-26
702075,Divya Kulkarni,1977-07-13,F,DTZYJ9819V,8226962698,Kochi,Kerala,Salaried,162292.76,750,2011-10-07
702076,Chitra Iyengar,1997-06-10,F,DAKYO4175F,7128940497,Chennai,Tamil Nadu,Professional,360792.55,764,2020-06-28
702077,Vinod Nair,1982-03-19,M,AAELV4474J,9237171700,Chennai,Tamil Nadu,Business,249092.54,894,2012-10-17
702078,Yogesh Dutta,1978-04-22,M,BLQIO0071M,7600074248,Chennai,Tamil Nadu,Self Employed,125375.81,680,2016-11-01
702079,Rekha Menon,1979-09-30,F,FXLPX5280F,7413990801,Surat,Gujarat,Self Employed,292985.74,659,2019-09-13
702080,Deepak Perumal,1990-10-06,M,URYGB8834I,8992146060,Delhi,Delhi,Business,254721.15,518,2018-12-05
702081,Dinesh Kulkarni,1992-05-28,M,XTWAR2854X,6702279820,Kolkata,West Bengal,Salaried,67540.91,588,2010-06-27
702082,Deepa Mehta,1978-12-20,F,OLSHD2975X,9652250448,Chandigarh,Chandigarh,Salaried,159766.18,557,2024-02-17
702083,Jagan Verma,1959-05-26,M,BTFEX4544F,6778952497,Bengaluru,Karnataka,Salaried,93348.75,566,2022-12-30
702084,Abhishek Rao,1991-08-14,M,DZOKH2240N,9293779917,Coimbatore,Tamil Nadu,Self Employed,153387.48,577,2022-07-21
702085,Shankar Murugan,1985-01-24,M,LSXUU2472V,6206233738,Mumbai,Maharashtra,Salaried,147644.61,517,2018-11-06
702086,Sunil Venkatesan,1997-09-17,M,CGIHH5344U,7621185618,Mumbai,Maharashtra,Salaried,46926.04,654,2024-04-21
702087,Bharath Banerjee,1960-07-17,M,GGLXJ7025E,7138118641,Jaipur,Rajasthan,Salaried,19799.38,699,2021-10-16
702088,Sunitha Krishnan,1984-12-19,F,LISEU0023Z,7419573238,Bhubaneswar,Odisha,Government Employee,111695.08,735,2021-02-08
702089,Sanjay Rao,1999-04-19,M,MWZNQ5999N,7641447437,Mumbai,Maharashtra,Professional,323904.92,654,2013-04-02
702090,Dinesh Dutta,1981-08-07,M,SNETA6345Y,6221103506,Pune,Maharashtra,Salaried,130041.49,763,2020-08-09
702091,Lakshmi Saha,1959-06-22,F,PIQBK7897I,9454109027,Ahmedabad,Gujarat,Business,243391.46,764,2021-07-18
702092,Praveen Reddy,1965-10-02,M,PJOYZ7799L,8683155216,Bengaluru,Karnataka,Salaried,51873.8,519,2013-11-03
702093,Karthik Roy,1994-10-20,M,HEAVM2514S,7307631237,Coimbatore,Tamil Nadu,Farmer,56206.78,637,2012-07-21
702094,Farooq Jadhav,2005-07-16,M,WQUQT8961P,6016080158,Bhubaneswar,Odisha,Farmer,54019.91,544,2011-12-30
702095,Ramesh Dutta,1980-02-15,M,GQRKC9972U,9599388186,Ranchi,Jharkhand,Retired,34345.49,570,2022-07-04
702096,Ravi Rao,1960-09-13,M,UKEDB2584Q,8504785729,Coimbatore,Tamil Nadu,Salaried,154571.68,681,2022-04-27
702097,Oviya Sen,1971-02-22,F,QUHXR7409V,7060347820,Surat,Gujarat,Salaried,153613.77,651,2011-11-18
702098,Farooq Reddy,2003-05-16,M,WITPS8135U,9012996559,Lucknow,Uttar Pradesh,Government Employee,91222.87,802,2023-05-01
702099,Kalpana Thakur,1967-10-11,F,RPQST8148V,8724416729,Nashik,Maharashtra,Salaried,82839.07,858,2013-04-15
702100,Vidya Nair,1981-06-08,F,UTHES0825G,6722349346,Delhi,Delhi,Salaried,74823.44,703,2020-03-25
702101,Revathi Chowdhury,1973-12-04,F,VNRBD8293X,7705988335,Bhubaneswar,Odisha,Business,46141.8,645,2023-02-03
702102,Arun Krishnan,1966-03-12,M,OAZTE4591X,8461522667,Bengaluru,Karnataka,Salaried,164500.61,-1,2018-01-07
702103,Karthik Elumalai,1980-06-19,M,DKLQD0112C,6524735251,Surat,Gujarat,Salaried,30898.11,650,2019-04-19
702104,Pankaj Roy,1998-05-05,M,MMPIP9496W,6112689961,Madurai,Tamil Nadu,Salaried,168137.89,662,2012-07-20
702105,Sunil Deshmukh,2001-01-05,M,PVSYU1512Y,8311137647,Kochi,Kerala,Salaried,123023.24,718,2013-06-25
702106,Sivakumar Nambiar,1999-04-02,M,WOAQD8691Q,6306153644,Madurai,Tamil Nadu,Salaried,165261.53,594,2024-11-25
702107,Hari Deshmukh,1963-07-27,M,IZMRX6078H,9723179924,Madurai,Tamil Nadu,Salaried,28961.9,719,2019-06-09
702108,Priya Saha,1970-05-24,F,TNOCM0072D,7017380696,Delhi,Delhi,Business,189934.2,640,2011-05-25
702109,Rajini Banerjee,1964-06-29,F,ZIMJP5540H,7190478494,Jaipur,Rajasthan,Business,226121.51,764,2010-03-22
702110,Yogesh Rajendran,1963-09-03,M,GTHIP0956M,7598324411,Delhi,Delhi,Business,290171.38,793,2016-05-16
702111,Naveen Tiwari,1971-05-20,M,QGFAG1735G,9318525057,Kochi,Kerala,Farmer,19487.34,829,2011-08-30
702112,Rajini Rana,1986-03-31,F,QFCNW8568E,8236882925,Delhi,Delhi,Government Employee,76560.49,-1,2015-01-15
702113,Senthil Sharma,2000-10-17,M,GLXOY1225M,9977449014,Bengaluru,Karnataka,Business,104815.83,649,2019-04-15
702114,Gayathri Pillai,1983-04-11,F,FFZZH3108X,8379149883,Bhubaneswar,Odisha,Salaried,170568.65,536,2012-12-11
702115,Selvi Krishnan,1972-12-27,F,YWECB2276J,9945402198,Patna,Bihar,Salaried,87738.78,504,2017-06-20
702116,Malathi Patel,1970-06-09,F,ATZYB8178S,8821563032,Bhubaneswar,Odisha,Salaried,112129.43,636,2014-01-04
702117,Chandran Singh,2002-08-26,M,CEURZ5672F,8218074531,Madurai,Tamil Nadu,Business,58104.57,529,2024-06-17
702118,Sangeetha Shah,2001-03-13,F,GVFWW4698D,8416899654,Kochi,Kerala,Salaried,106211.17,508,2013-07-24
702119,Lavanya Subramaniam,1981-05-22,F,HDRNN4335U,9309563862,Patna,Bihar,Retired,27867.84,631,2021-03-17
702120,Kumar Murugan,1994-12-23,M,DTNDL1536Y,8850637545,Surat,Gujarat,Salaried,167199.92,571,2019-07-29
702121,Nithya Subramaniam,1970-03-18,F,BEDDI0953K,9951147036,Surat,Gujarat,Salaried,33455.45,730,2018-09-18
702122,Devi Subramaniam,2000-07-06,F,TTICY4046H,9909503389,Hyderabad,Telangana,Self Employed,168838.41,848,2021-04-02
702123,Priya Chowdhury,1980-03-07,F,CYAGM4716F,9134539855,Surat,Gujarat,Self Employed,248460.24,643,2019-12-03
702124,Sanjay Menon,1969-01-10,M,DCICA9861S,9917502218,Kanpur,Uttar Pradesh,Salaried,57774.21,694,2010-07-05
702125,Amit Ghosh,1985-07-15,M,SKONX3156V,9595328319,Jaipur,Rajasthan,Farmer,39797.28,515,2011-07-14
702126,Madhavi Bose,1981-08-08,F,CBEXV7627D,9813806573,Chennai,Tamil Nadu,Government Employee,105220.46,682,2019-08-14
702127,Dilip Tiwari,1989-11-06,M,BQWBB6848M,7731425087,Ranchi,Jharkhand,Business,446339.05,598,2024-06-22
702128,Kavitha Murugan,1973-05-16,F,XGPWM3573I,7117218249,Chennai,Tamil Nadu,Salaried,64482.64,560,2018-05-03
702129,Esther Iyer,1981-09-07,F,JSYOA6466L,6438728156,Madurai,Tamil Nadu,Salaried,121845.05,488,2013-01-29
702130,Farooq Chauhan,1986-04-06,M,HMQYF3142J,9200904330,Bengaluru,Karnataka,Professional,64241.69,817,2022-04-07
702131,Rahul Tiwari,1973-11-09,M,NCEEX3255X,8655966707,Bengaluru,Karnataka,Self Employed,95069.49,512,2023-06-27
702132,Saranya Kulkarni,1966-10-02,F,NKOYZ9073O,8148031246,Mumbai,Maharashtra,Salaried,25256.78,550,2011-08-02
702133,Sivakumar Dutta,1957-02-23,M,XPZFP0120Z,7699077110,Delhi,Delhi,Salaried,62703.39,666,2018-03-02
702134,Jagan Krishnan,1967-11-30,M,UXRKT7525K,8522245520,Madurai,Tamil Nadu,Business,83277.79,692,2012-08-22
702135,Sneha Patel,1981-03-08,F,LXTGU4909C,6068570283,Hyderabad,Telangana,Retired,11339.18,693,2020-06-29
702136,Radha Pandey,1964-04-11,F,KZIZM5378I,6179238973,Jaipur,Rajasthan,Salaried,44015.03,675,2019-10-14
702137,Rekha Reddy,1961-12-24,F,NLYOY3959Q,7433360581,Chandigarh,Chandigarh,Business,162209.53,580,2022-12-13
702138,Manoj Bhat,2002-04-14,M,GXNMD9997J,8085722233,Ranchi,Jharkhand,Farmer,51562.22,738,2018-11-07
702139,Sivakumar Rao,2005-06-10,M,IUQNT0563A,8074923421,Delhi,Delhi,Salaried,145533.17,684,2016-02-20
702140,Ramesh Deshmukh,1964-02-22,M,LOYOT8962G,7330159029,Chandigarh,Chandigarh,Salaried,106627.97,527,2024-07-25
702141,Farooq Krishnan,1991-04-01,M,ICPZH3520X,8527961530,Lucknow,Uttar Pradesh,Salaried,68165.09,818,2025-04-08
702142,Dinesh Pandey,2004-04-30,M,REOZF2983U,7643011877,Chennai,Tamil Nadu,Salaried,51710.47,633,2017-08-17
702143,Nitin Sharma,1956-11-16,M,XVUAV6852E,6107622542,Surat,Gujarat,Self Employed,178862.43,756,2010-08-16
702144,Vikram Bhat,1960-10-18,M,CCVVQ7562X,9187542562,Delhi,Delhi,Farmer,27005.07,527,2014-12-08
702145,Yamuna Banerjee,2001-07-01,F,OMZSL6962F,8707806357,Kolkata,West Bengal,Salaried,137318.56,553,2018-02-05
702146,Harish Yadav,1995-09-02,M,VXLCJ8558M,7038152584,Chandigarh,Chandigarh,Business,179569.9,611,2017-07-03
702147,Sanjay Patel,1994-11-09,M,AGVVD3271Q,8177724338,Jaipur,Rajasthan,Professional,141620.95,600,2024-06-11
702148,Nithya Murugan,1977-06-16,F,QRJPJ0944P,6025677163,Ahmedabad,Gujarat,Self Employed,190312.0,762,2023-09-05
702149,Meena Singh,1977-05-15,F,VWPCN8401K,8701662721,Pune,Maharashtra,Business,166705.76,512,2020-12-14
702150,Nithya Chelladurai,1965-11-02,F,CAXYW2740H,7930065560,Pune,Maharashtra,Business,141334.14,681,2010-10-07
702151,Farooq Singh,1976-04-29,M,WTADE9185K,9914108815,Hyderabad,Telangana,Professional,206722.28,570,2024-02-18
702152,Mahesh Bose,2004-12-23,M,LCSQR9071C,7839980265,Kolkata,West Bengal,Self Employed,185062.08,715,2010-04-15
702153,Shanthi Banerjee,1975-06-29,F,WXRPX0939H,8227378504,Pune,Maharashtra,Salaried,49973.03,686,2019-04-26
702154,Yogesh Jadhav,1976-08-29,M,WNJVS6703F,9822909601,Chennai,Tamil Nadu,Business,188235.0,614,2017-12-26
702155,Praveen Pillai,1985-11-21,M,XZYFQ4724H,8305113272,Delhi,Delhi,Business,35146.24,877,2015-01-18
702156,Vani Bose,2001-07-07,F,IPANI2131Z,9456100119,Ranchi,Jharkhand,Business,343524.79,662,2021-10-15
702157,Ganesh Sen,1970-08-30,M,PILXG7120N,9128016758,Ranchi,Jharkhand,Government Employee,138715.57,770,2013-06-03
702158,Ilango Bose,1993-10-11,M,MERQY0447M,9441721448,Surat,Gujarat,Government Employee,112501.65,540,2021-04-09
702159,Vinod Shah,1960-11-09,M,UVCRP7009L,7486430877,Chandigarh,Chandigarh,Salaried,78066.17,654,2020-05-07
702160,Ashok Thakur,1974-03-19,M,VNCML0229C,6846726254,Surat,Gujarat,Government Employee,41498.41,675,2023-01-06
702161,Prakash Dutta,1969-10-16,M,RFEGG2669S,8879409940,Coimbatore,Tamil Nadu,Self Employed,171834.89,679,2019-07-18
702162,Sanjay Shah,1957-12-24,M,RFLBB8625R,6299816204,Mumbai,Maharashtra,Salaried,78590.5,634,2018-04-21
702163,Ajay Gupta,1989-05-23,M,OHEUY8604N,9676394576,Kochi,Kerala,Retired,36173.45,588,2022-10-31
702164,Devi Subramaniam,1968-12-15,F,VHRIW8243U,9524156862,Nashik,Maharashtra,Self Employed,105986.77,373,2011-12-31
702165,Priya Pillai,1971-12-08,F,NFDBX5372G,7217359186,Lucknow,Uttar Pradesh,Government Employee,95761.64,612,2021-03-23
702166,Naveen Pandey,1997-10-10,M,UBYYY1683E,9805831632,Bengaluru,Karnataka,Government Employee,54510.75,579,2022-03-27
702167,Latha Sen,2002-07-24,F,FTUNA4695U,6655217604,Hyderabad,Telangana,Salaried,176110.38,642,2024-04-07
702168,Yamuna Mehta,1965-10-07,F,QPTUZ7715B,6447328778,Delhi,Delhi,Self Employed,251116.11,748,2024-02-26
702169,Ajay Mehta,2004-01-29,M,MJEZL8053M,9992614233,Kolkata,West Bengal,Salaried,168445.77,877,2017-01-19
702170,Ashok Iyer,1983-01-07,M,BWGRB2992W,8993438904,Kolkata,West Bengal,Business,66479.34,717,2011-06-09
702171,Vani Chauhan,1979-02-10,F,QEMHV7600E,8575071260,Coimbatore,Tamil Nadu,Business,52914.41,763,2020-10-07
702172,Priya Gupta,2003-03-01,F,YBJPW6741G,6368132720,Kanpur,Uttar Pradesh,Self Employed,92033.3,727,2018-05-10
702173,Yogesh Pandey,1958-08-30,M,CMURT0841H,6186644657,Lucknow,Uttar Pradesh,Professional,42040.82,736,2024-09-15
702174,Ramesh Chauhan,1960-10-06,M,UXYCP1305I,7327806972,Kolkata,West Bengal,Professional,91527.31,723,2014-04-22
702175,Tara Naidu,1988-04-09,F,QGGYC0944S,8406574950,Bhubaneswar,Odisha,Self Employed,80830.83,642,2011-04-20
702176,Rajesh Bose,1996-08-06,M,EFLUU8968F,9173602109,Kochi,Kerala,Government Employee,116867.7,636,2014-08-08
702177,Senthil Subramaniam,1958-06-23,M,WWMYB4364N,6482009857,Delhi,Delhi,Business,466935.78,699,2017-08-06
702178,Madhavi Menon,1959-11-04,F,LAZYB1886U,8304585815,Chandigarh,Chandigarh,Salaried,133438.76,838,2015-06-07
